epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5028.58,1.30598,1.22686,1.23291,0.61464,0.36054,0.39063,0.23018,1.44402,1.31273,1.33508,0.002377,0.002377,0.002377
79,5089.99,1.29626,1.20547,1.22143,0.63876,0.40344,0.41788,0.25177,1.43923,1.29679,1.33142,0.002278,0.002278,0.002278
80,5151.08,1.29333,1.20433,1.22053,0.60512,0.41033,0.40117,0.24175,1.45281,1.29209,1.33813,0.002179,0.002179,0.002179
81,5212.74,1.29093,1.19139,1.22452,0.60144,0.38868,0.41228,0.24948,1.44566,1.33484,1.34108,0.00208,0.00208,0.00208
82,5274.1,1.28973,1.1905,1.22213,0.61093,0.3682,0.39025,0.22672,1.43617,1.30045,1.33735,0.001981,0.001981,0.001981
83,5335.56,1.28894,1.17446,1.21401,0.52897,0.44306,0.42625,0.26012,1.43867,1.28847,1.33253,0.001882,0.001882,0.001882
84,5397.14,1.28551,1.17594,1.21543,0.65849,0.39049,0.4112,0.24684,1.42986,1.28334,1.33132,0.001783,0.001783,0.001783
85,5468.29,1.27603,1.16555,1.21329,0.58574,0.39496,0.40372,0.24203,1.41635,1.27561,1.32164,0.001684,0.001684,0.001684
86,5530.58,1.26431,1.15475,1.20414,0.58716,0.40234,0.40578,0.24369,1.41151,1.28359,1.31979,0.001585,0.001585,0.001585
87,5591.75,1.25665,1.13042,1.19983,0.68866,0.39068,0.42467,0.25522,1.41859,1.28616,1.32477,0.001486,0.001486,0.001486
88,5662.61,1.25941,1.13121,1.19558,0.67347,0.41348,0.434,0.26125,1.41679,1.26131,1.3255,0.001387,0.001387,0.001387
89,5724.38,1.25205,1.12589,1.20082,0.598,0.41039,0.42647,0.26289,1.42926,1.26901,1.32421,0.001288,0.001288,0.001288
90,5785.75,1.24254,1.11138,1.19352,0.61989,0.41456,0.41469,0.24936,1.41738,1.23985,1.31468,0.001189,0.001189,0.001189
91,5858.37,1.26209,1.1014,1.1968,0.66823,0.39093,0.4099,0.24819,1.43695,1.25984,1.32094,0.00109,0.00109,0.00109
92,5919.08,1.24464,1.06357,1.18726,0.66231,0.39392,0.40661,0.24619,1.41833,1.25722,1.31792,0.000991,0.000991,0.000991
93,5979.51,1.22541,1.04165,1.17464,0.69587,0.37631,0.42924,0.26428,1.429,1.2723,1.32656,0.000892,0.000892,0.000892
94,6039.9,1.22476,1.04037,1.17701,0.6954,0.37254,0.41333,0.24854,1.42452,1.25744,1.32009,0.000793,0.000793,0.000793
95,6101.34,1.2196,1.02576,1.17164,0.61318,0.42783,0.42766,0.2625,1.42728,1.23737,1.32422,0.000694,0.000694,0.000694
96,6163.18,1.20555,1.00813,1.16725,0.70244,0.3898,0.43585,0.26324,1.42887,1.24469,1.32469,0.000595,0.000595,0.000595
97,6224.76,1.20208,0.99241,1.15924,0.58885,0.41643,0.42515,0.25463,1.42727,1.24651,1.32299,0.000496,0.000496,0.000496
98,6286.6,1.19802,0.9948,1.16512,0.7187,0.37184,0.43706,0.26648,1.42564,1.23855,1.32024,0.000397,0.000397,0.000397
99,6347.36,1.18523,0.97523,1.15236,0.66758,0.41437,0.44115,0.26609,1.42376,1.23034,1.32027,0.000298,0.000298,0.000298
100,6408.48,1.17932,0.96833,1.1533,0.5872,0.40727,0.43953,0.26709,1.41959,1.22804,1.31501,0.000199,0.000199,0.000199
