epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3769.47,0.8776,0.63916,1.04037,0.72112,0.53655,0.59943,0.39967,1.12464,0.85718,1.1704,0.000554422,0.000554422,0.000554422
87,3812.58,0.87842,0.63944,1.04408,0.71918,0.53822,0.59954,0.40097,1.1239,0.8571,1.17023,0.000485389,0.000485389,0.000485389
88,3855.63,0.87384,0.63389,1.03888,0.71299,0.53511,0.59929,0.40096,1.12519,0.85858,1.17151,0.000420816,0.000420816,0.000420816
89,3898.88,0.87232,0.63712,1.04088,0.70048,0.53774,0.59877,0.40083,1.12594,0.85873,1.17202,0.000360766,0.000360766,0.000360766
90,3943.83,0.87188,0.63011,1.03693,0.7058,0.53837,0.59791,0.40045,1.1256,0.85917,1.17211,0.000305301,0.000305301,0.000305301
91,3992.21,0.8393,0.56183,1.0004,0.70727,0.53835,0.597,0.39952,1.12863,0.85951,1.17426,0.000254473,0.000254473,0.000254473
92,4034.95,0.82454,0.54279,0.99232,0.72503,0.53136,0.59718,0.39884,1.12865,0.8609,1.1739,0.000208333,0.000208333,0.000208333
93,4078,0.81823,0.53613,0.99029,0.73517,0.52844,0.59798,0.39799,1.12963,0.86204,1.17426,0.000166927,0.000166927,0.000166927
94,4123.18,0.81971,0.53705,0.99124,0.73777,0.52584,0.59728,0.39801,1.13072,0.86335,1.17534,0.000130296,0.000130296,0.000130296
95,4166.63,0.81683,0.53355,0.98893,0.74211,0.5208,0.59882,0.39855,1.13146,0.86472,1.17609,9.84752e-05,9.84752e-05,9.84752e-05
96,4210.19,0.81459,0.53192,0.98887,0.73916,0.5198,0.59904,0.39825,1.13155,0.86571,1.17645,7.14967e-05,7.14967e-05,7.14967e-05
97,4252.96,0.81389,0.53117,0.9908,0.73741,0.51866,0.59762,0.39786,1.13228,0.86608,1.17683,4.93871e-05,4.93871e-05,4.93871e-05
98,4296.9,0.81344,0.52899,0.98902,0.73358,0.51976,0.59737,0.39842,1.13246,0.8662,1.17707,3.2168e-05,3.2168e-05,3.2168e-05
99,4339.47,0.818,0.53244,0.98884,0.72985,0.52153,0.59711,0.39882,1.13312,0.86659,1.1777,1.98565e-05,1.98565e-05,1.98565e-05
100,4382.36,0.81555,0.53098,0.98756,0.73049,0.52416,0.59721,0.39867,1.13356,0.86766,1.17816,1.24647e-05,1.24647e-05,1.24647e-05
